transaction_id,amount,oldbalanceOrg,newbalanceOrg,oldbalanceDest,newbalanceDest,transaction_type,device_id,customer_location,hour_of_day,isFraud
T000001,400.786275340719,1578.7054850894297,1177.9192097487107,323.34164384842296,724.127919189142,PAYMENT,D8371,UK,7,0.0
T000002,112.558309907573,1510.02100064506,1397.462690737487,632.766177775534,745.324487683107,DEBIT,D4985,AU,23,0.0
T000003,542.0602058644765,201.6503467849819,-340.4098590794946,374.17144075339735,916.2316466178738,TRANSFER,D2269,US,12,0.0
T000004,3121.4712146406637,1816.8594496781618,-1304.6117649625019,1337.760845600059,4459.232060240723,CASH_OUT,D2294,CA,20,0.0
T000005,92.91575761599078,8948.52168470399,8855.605927088,9460.886392303437,9553.802149919427,CASH_OUT,D2009,AU,2,0.0
T000006,92.91880860592899,440.8266972195532,347.9078886136242,273.72504499665536,366.64385360258433,PAYMENT,D2757,AU,4,0.0
T000007,3492.6835003642054,14367.49980164218,10874.816301277973,6644.049333543885,10136.73283390809,TRANSFER,D8776,UK,19,0.0
T000008,688.7438686636913,6196.018774464518,5507.274905800827,268.5374196467267,957.281288310418,DEBIT,D7578,US,7,0.0
T000009,58.0352873499588,990.9360654314986,932.9007780815398,238.47655831385882,296.5118456638176,PAYMENT,D9180,AU,1,0.0
T000010,439.27256050534936,2410.779803328767,1971.5072428234175,4786.095934175212,5225.3684946805615,PAYMENT,D3841,US,23,0.0
T000011,58.742566324693456,32777.012539528914,32718.26997320422,5764.567916244364,5823.310482569057,CASH_OUT,D6716,UK,9,0.0
T000012,58.47156062441337,8958.174266072378,8899.702705447964,5077.315145391899,5135.786706016313,TRANSFER,D3404,CA,21,0.0
T000013,240.78984560524293,3020.4934236791905,2779.7035780739475,102.67458985164221,343.46443545688516,PAYMENT,D4562,AU,15,0.0
T000014,3.2330937969662124,2086.9835492483576,2083.750455451391,474.03835657730343,477.27145037426965,CASH_OUT,D2271,AU,3,0.0
T000015,4.712244505542819,3343.96867179212,3339.256427286577,4824.099989044015,4828.812233549558,DEBIT,D9444,AU,13,0.0
T000016,48.203177470973316,1383.4762923528363,1335.273114881863,1181.7779408493182,1229.9811183202914,PAYMENT,D3768,US,2,0.0
T000017,19.57665449908368,126.83356832880968,107.25691382972599,158.75353049189974,178.3301849909834,DEBIT,D8801,AU,9,0.0
T000018,278.24295341768675,63784.5875566612,63506.34460324352,2502.316771747278,2780.5597251649647,DEBIT,D9928,US,12,0.0
T000019,24.141970708013574,3763.0591104421783,3738.9171397341647,302.8831034317021,327.0250741397157,CASH_OUT,D7142,DE,4,0.0
T000020,8.805641515000511,5416.585409660496,5407.779768145496,27726.522557058695,27735.328198573698,TRANSFER,D2928,DE,21,0.0
T000021,2783.035556717956,2732.954056624376,-50.08150009357996,17689.289675832468,20472.32523255042,DEBIT,D7266,US,16,0.0
T000022,94.48559594569565,989.6237287498385,895.1381328041429,3253.138063394328,3347.6236593400236,PAYMENT,D6413,DE,16,0.0
T000023,169.87390208520665,2255.469148869387,2085.5952467841803,12705.777224594289,12875.651126679495,TRANSFER,D7828,UK,10,0.0
T000024,8.589183057495436,270.6720273312681,262.08284427377265,1232.283745180497,1240.8729282379923,TRANSFER,D3190,UK,18,0.0
T000025,49.96059281350226,90728.766526439,90678.8059336255,4349.375236066312,4399.3358288798145,CASH_OUT,D2002,DE,17,0.0
T000026,185.27573583637368,467.88942768229657,282.61369184592286,15676.162595830001,15861.438331666375,PAYMENT,D7654,CA,16,0.0
T000027,14.850192752865238,634.001026948963,619.1508341960978,1705.9844740685542,1720.8346668214194,PAYMENT,D9094,US,10,0.0
T000028,314.62958828403964,1540.1131910992053,1225.4836028151658,692.745779455097,1007.3753677391367,CASH_OUT,D7067,DE,14,0.0
T000029,44.644120555432906,20580.793948301347,20536.149827745914,50.99259750767657,95.63671806310947,CASH_OUT,D4752,US,7,0.0
T000030,82.8152729594624,3046.545177509319,2963.729904549856,944.2204379864468,1027.0357109459092,TRANSFER,D7200,DE,11,0.0
T000031,44.54886940771283,466.7511778602685,422.2023084525557,4827.875197787674,4872.424067195387,DEBIT,D5137,UK,16,0.0
T000032,6030.326106976507,19565.195777985664,13534.869671009157,6015.773225090501,12046.099332067008,DEBIT,D4702,CA,23,0.0
T000033,144.46041863144728,8924.012356409185,8779.551937777738,2718.5586705040237,2863.019089135471,DEBIT,D6943,US,4,0.0
T000034,17.896016426752574,6685.20687914058,6667.310862713827,413.9154099135236,431.81142634027617,DEBIT,D5438,CA,3,0.0
T000035,768.999119265369,8721.978311496618,7952.979192231249,31.240682630287917,800.2398018956569,PAYMENT,D5427,UK,23,0.0
T000036,12.914009115397644,108179.03346451034,108166.11945539495,449.71444900984307,462.6284581252407,PAYMENT,D6556,AU,23,0.0
T000037,225.3663251419941,79034.70529821406,78809.33897307207,634.0826014204725,859.4489265624667,CASH_OUT,D9532,AU,10,0.0
T000038,2.9466229510074835,1064.1450496774912,1061.1984267264838,624.36045826028,627.3070812112875,CASH_OUT,D3388,US,7,0.0
T000039,10.418967073647876,34058.24714720731,34047.82818013366,3338.915866996828,3349.3348340704756,DEBIT,D7992,UK,15,0.0
T000040,220.02088457611734,5296.239315872842,5076.218431296725,39113.288197158276,39333.30908173439,CASH_OUT,D7325,US,15,0.0
T000041,649.9745186152154,6302.134876150327,5652.160357535111,1369.7075971623706,2019.682115777586,PAYMENT,D2700,US,2,0.0
T000042,209.08409979273915,235.4724102192486,26.388310426509435,742.395989600463,951.4800893932022,DEBIT,D6383,US,11,0.0
T000043,117.76645109810487,2308.657237221924,2190.890786123819,687.7330380850808,805.4994891831857,DEBIT,D2233,CA,23,0.0
T000044,81.27127302782661,880.7418947361999,799.4706217083733,1371.8185953807667,1453.0898684085932,PAYMENT,D3298,DE,12,0.0
T000045,7.713376421427396,10322.571892124495,10314.858515703068,246.9216874193132,254.6350638407406,TRANSFER,D9329,UK,0,0.0
T000046,35.17415511403835,14862.859819612371,14827.685664498333,1361.5205501310868,1396.694705245125,DEBIT,D3930,CA,3,0.0
T000047,59.06995727830433,132.7238260533363,73.65386877503197,2468.7375988772965,2527.8075561556007,CASH_OUT,D2833,DE,20,0.0
T000048,1229.3544244848692,2884.0409692089634,1654.6865447240941,1599.4816938984438,2828.836118383313,TRANSFER,D3139,US,5,0.0
T000049,295.0770707910309,16039.220086326308,15744.143015535277,2498.8239525850713,2793.9010233761023,PAYMENT,D9399,AU,4,0.0
T000050,4.3663162458397276,2252.9180285590955,2248.551712313256,2394.0593975752563,2398.425713821096,TRANSFER,D7436,CA,4,0.0
T000051,283.77110327050644,8898.12151314171,8614.350409871204,45.17690351032596,328.94800678083243,TRANSFER,D3208,UK,20,0.0
T000052,68.70592493929318,5048.004024366026,4979.298099426733,3450.816970763147,3519.52289570244,DEBIT,D8553,UK,9,0.0
T000053,38.32705330270458,4976.540987831188,4938.213934528484,327.7244873479539,366.0515406506585,TRANSFER,D6622,DE,18,0.0
T000054,504.3914119523978,1984.311998714112,1479.9205867617143,152.54955690852,656.9409688609178,CASH_OUT,D7286,CA,17,0.0
T000055,1166.7752722676862,480.6449240189511,-686.1303482487351,150.2028494007793,1316.9781216684655,DEBIT,D8936,US,1,0.0
T000056,955.8110415498115,554.2992918471151,-401.5117497026964,2393.171849754909,3348.9828913047204,PAYMENT,D4690,DE,15,0.0
T000057,27.70367161132458,8638.884733391811,8611.181061780486,734.6286482026862,762.3323198140108,CASH_OUT,D3609,UK,14,0.0
T000058,79.96389723865543,3069.2465385551322,2989.2826413164767,53.11483080744486,133.0787280461003,DEBIT,D7178,CA,23,0.0
T000059,287.87514528084154,2421.7159377994735,2133.840792518632,2592.733665405645,2880.6088106864863,TRANSFER,D1223,AU,4,0.0
T000060,1044.2876467969134,1578.3968144890653,534.1091676921519,82.16302345668859,1126.4506702536019,CASH_OUT,D4774,US,20,0.0
T000061,56.92027043255818,1886.0061645622695,1829.0858941297113,1410.4702597669118,1467.39053019947,DEBIT,D8916,UK,21,0.0
T000062,102.37904435298323,14333.685733051518,14231.306688698534,1684.6246632808518,1787.0037076338351,DEBIT,D9514,CA,8,0.0
